[391, 879] #SUP 0.020364902717843893
[428, 683] #SUP 0.028200469376939964
[428, 801] #SUP 0.02062987357105004
[428, 985] #SUP 0.02176546294193353
[451, 920] #SUP 0.022598228480581423
[478, 767] #SUP 0.025361495949731243
[569, 599] #SUP 0.021689756983874632
[579, 776] #SUP 0.023468846998258762
[640, 693] #SUP 0.02081913846619729
[693, 879] #SUP 0.027897645544704367
[721, 723] #SUP 0.02256037550155197
[783, 915] #SUP 0.02770838064955712
[799, 827] #SUP 0.028049057460822167
